shipment_id,order_id,shipping_service_id,checkout_ts,shipped_ts,delivered_ts,shipping_fee,shipping_subsidy,is_delayed,shipping_status,tracking_number,loaded_at
28,28,6,2024-12-17 18:23:34,2024-12-19 11:16:34,2024-12-21 11:16:34,18000,0,False,delivered,TRK81612217,2026-05-25 04:22:10.045703
29,29,2,2022-07-14 21:44:34,,,9000,0,False,cancelled,,2026-05-25 04:22:10.045703
30,30,4,2025-12-21 09:58:24,2025-12-22 22:01:24,2025-12-27 22:01:24,15000,0,False,delivered,TRK77723810,2026-05-25 04:22:10.045703
31,31,1,2025-05-29 22:35:36,2025-05-30 20:34:36,2025-06-03 20:34:36,50000,0,True,delivered,TRK69822731,2026-05-25 04:22:10.045703
32,32,1,2023-02-24 06:47:53,2023-02-26 07:37:53,2023-03-02 07:37:53,35000,0,False,delivered,TRK99850960,2026-05-25 04:22:10.045703
33,33,8,2024-08-22 23:09:04,2024-08-24 15:18:04,2024-08-25 15:18:04,50000,0,False,delivered,TRK57188313,2026-05-25 04:22:10.045703
34,34,7,2024-09-03 16:20:07,2024-09-04 23:18:07,2024-09-15 23:18:07,9000,0,True,delivered,TRK68552857,2026-05-25 04:22:10.045703
35,35,4,2022-11-05 00:02:40,2022-11-05 13:52:40,2022-11-15 13:52:40,15000,0,True,delivered,TRK78691367,2026-05-25 04:22:10.045703
36,36,3,2023-03-22 20:18:21,2023-03-24 05:39:21,2023-03-25 05:39:21,35000,0,False,delivered,TRK87375479,2026-05-25 04:22:10.045703
37,37,1,2022-04-21 14:34:18,2022-04-22 06:54:18,2022-04-30 06:54:18,12000,0,True,delivered,TRK32907710,2026-05-25 04:22:10.045703
38,38,3,2025-12-31 09:08:32,,,18000,18000,False,in_progress,,2026-05-25 04:22:10.045703
39,39,6,2025-09-20 05:30:11,2025-09-21 16:48:11,2025-09-25 16:48:11,35000,0,False,delivered,TRK32849188,2026-05-25 04:22:10.045703
40,40,8,2022-12-29 13:40:03,2022-12-30 10:42:03,2023-01-04 10:42:03,15000,0,True,delivered,TRK74899144,2026-05-25 04:22:10.045703
41,41,5,2025-06-05 06:30:40,2025-06-07 04:53:40,2025-06-08 04:53:40,18000,18000,False,delivered,TRK67222468,2026-05-25 04:22:10.045703
42,42,3,2022-04-12 23:07:40,2022-04-15 03:51:40,2022-04-18 03:51:40,50000,0,False,delivered,TRK37601270,2026-05-25 04:22:10.045703
43,43,4,2025-01-28 17:13:18,2025-01-29 14:52:18,2025-02-01 14:52:18,35000,0,False,delivered,TRK44276719,2026-05-25 04:22:10.045703
44,44,4,2024-12-28 12:15:04,2024-12-30 04:25:04,2025-01-02 04:25:04,50000,0,False,delivered,TRK16992227,2026-05-25 04:22:10.045703
45,45,1,2025-01-20 12:02:22,2025-01-22 13:41:22,2025-01-24 13:41:22,15000,0,False,delivered,TRK74869521,2026-05-25 04:22:10.045703
46,46,5,2024-05-28 11:26:11,2024-05-29 20:08:11,2024-05-30 20:08:11,15000,0,False,delivered,TRK37168383,2026-05-25 04:22:10.045703
47,47,1,2022-06-16 04:47:08,2022-06-18 10:47:08,2022-06-20 10:47:08,25000,0,False,delivered,TRK89502156,2026-05-25 04:22:10.045703
48,48,6,2025-12-09 14:39:33,2025-12-11 13:21:33,2025-12-16 13:21:33,50000,0,False,delivered,TRK62332758,2026-05-25 04:22:10.045703
49,49,4,2023-11-01 10:07:25,2023-11-01 19:33:25,2023-11-05 19:33:25,18000,0,False,delivered,TRK98761009,2026-05-25 04:22:10.045703
50,50,1,2023-10-21 05:23:16,2023-10-22 03:47:16,2023-10-30 03:47:16,15000,15000,True,delivered,TRK73454293,2026-05-25 04:22:10.045703
51,51,3,2024-11-05 08:16:01,2024-11-06 21:03:01,2024-11-16 21:03:01,15000,0,True,delivered,TRK25603784,2026-05-25 04:22:10.045703
52,52,1,2024-06-23 21:04:24,,,50000,50000,False,cancelled,,2026-05-25 04:22:10.045703
53,53,4,2025-01-01 22:56:15,2025-01-03 08:42:15,2025-01-05 08:42:15,9000,0,False,delivered,TRK21888667,2026-05-25 04:22:10.045703
54,54,4,2023-10-11 07:10:14,2023-10-12 21:52:14,2023-10-14 21:52:14,18000,0,False,delivered,TRK32532652,2026-05-25 04:22:10.045703
55,55,6,2023-06-24 06:39:51,2023-06-25 23:37:51,2023-06-27 23:37:51,50000,0,False,delivered,TRK36265897,2026-05-25 04:22:10.045703
56,56,2,2022-12-01 17:30:51,2022-12-02 07:45:51,2022-12-04 07:45:51,12000,0,False,delivered,TRK29080532,2026-05-25 04:22:10.045703
57,57,6,2022-12-25 19:08:55,2022-12-26 16:18:55,2022-12-28 16:18:55,35000,0,False,delivered,TRK98159959,2026-05-25 04:22:10.045703
58,58,2,2023-08-30 21:05:54,2023-08-31 14:52:54,2023-09-02 14:52:54,50000,50000,False,delivered,TRK86989196,2026-05-25 04:22:10.045703
59,59,3,2023-02-26 00:59:26,2023-02-27 05:05:26,2023-03-09 05:05:26,35000,0,True,delivered,TRK12288468,2026-05-25 04:22:10.045703
60,60,3,2024-02-07 04:19:38,2024-02-08 11:07:38,2024-02-14 11:07:38,18000,0,True,delivered,TRK74379219,2026-05-25 04:22:10.045703
61,61,6,2022-12-16 11:38:44,2022-12-17 16:29:44,2022-12-19 16:29:44,18000,0,False,delivered,TRK52470630,2026-05-25 04:22:10.045703
62,62,1,2024-11-06 22:09:39,2024-11-07 13:04:39,2024-11-15 13:04:39,9000,0,True,delivered,TRK98399051,2026-05-25 04:22:10.045703
63,63,3,2024-09-12 16:37:03,2024-09-13 12:54:03,,35000,0,False,cancelled,TRK82638828,2026-05-25 04:22:10.045703
64,64,4,2023-04-22 23:11:05,2023-04-23 17:01:05,2023-04-29 17:01:05,18000,0,True,delivered,TRK14927991,2026-05-25 04:22:10.045703
65,65,4,2024-02-08 14:40:20,2024-02-10 02:26:20,2024-02-13 02:26:20,18000,0,False,delivered,TRK29901618,2026-05-25 04:22:10.045703
66,66,3,2025-12-18 16:51:40,2025-12-18 23:28:40,2025-12-19 23:28:40,35000,35000,False,delivered,TRK54292295,2026-05-25 04:22:10.045703
67,67,5,2025-06-13 18:36:27,2025-06-15 23:06:27,2025-06-16 23:06:27,18000,0,False,delivered,TRK12265453,2026-05-25 04:22:10.045703
68,68,3,2025-11-17 03:43:36,2025-11-18 06:51:36,2025-11-21 06:51:36,18000,18000,False,delivered,TRK57664458,2026-05-25 04:22:10.045703
69,69,5,2023-04-15 05:18:12,2023-04-16 21:55:12,2023-04-21 21:55:12,35000,0,False,delivered,TRK56915691,2026-05-25 04:22:10.045703
70,70,2,2022-08-30 09:08:46,2022-09-01 08:33:46,2022-09-10 08:33:46,9000,0,True,delivered,TRK32922861,2026-05-25 04:22:10.045703
71,71,7,2023-05-26 15:19:42,2023-05-27 23:55:42,2023-06-03 23:55:42,12000,0,True,delivered,TRK74492188,2026-05-25 04:22:10.045703
72,72,3,2022-03-02 00:51:43,2022-03-04 03:06:43,2022-03-14 03:06:43,18000,0,True,delivered,TRK69875868,2026-05-25 04:22:10.045703
73,73,4,2023-01-11 18:47:31,2023-01-12 11:18:31,2023-01-14 11:18:31,9000,0,False,delivered,TRK60848449,2026-05-25 04:22:10.045703
74,74,1,2022-09-30 12:36:08,2022-10-02 05:10:08,2022-10-07 05:10:08,50000,50000,False,delivered,TRK11419936,2026-05-25 04:22:10.045703
75,75,3,2025-12-31 13:37:53,,,35000,35000,False,in_progress,,2026-05-25 04:22:10.045703
76,76,1,2024-04-02 15:33:08,2024-04-03 23:59:08,2024-04-04 23:59:08,35000,0,False,delivered,TRK73200594,2026-05-25 04:22:10.045703
77,77,6,2024-02-15 13:04:17,2024-02-17 09:54:17,2024-02-24 09:54:17,18000,18000,True,delivered,TRK11479820,2026-05-25 04:22:10.045703
78,78,1,2024-06-13 21:33:00,2024-06-14 11:15:00,2024-06-24 11:15:00,25000,25000,True,delivered,TRK26532240,2026-05-25 04:22:10.045703
79,79,1,2022-03-03 18:37:56,2022-03-05 18:21:56,2022-03-13 18:21:56,15000,0,True,delivered,TRK29380473,2026-05-25 04:22:10.045703
80,80,1,2025-06-23 09:19:28,2025-06-25 10:58:28,2025-06-28 10:58:28,15000,15000,False,delivered,TRK16642380,2026-05-25 04:22:10.045703
81,81,1,2022-03-25 17:41:19,2022-03-27 07:11:19,2022-03-29 07:11:19,25000,25000,False,delivered,TRK64894703,2026-05-25 04:22:10.045703
82,82,4,2022-11-15 02:46:01,2022-11-16 00:36:01,2022-11-22 00:36:01,50000,0,True,delivered,TRK95060140,2026-05-25 04:22:10.045703
83,83,7,2024-04-03 12:47:31,2024-04-05 03:52:31,2024-04-10 03:52:31,35000,0,True,delivered,TRK71802570,2026-05-25 04:22:10.045703
84,84,1,2024-05-27 13:02:02,2024-05-29 03:43:02,2024-05-31 03:43:02,18000,0,False,delivered,TRK82678876,2026-05-25 04:22:10.045703
85,85,1,2024-11-24 03:32:23,2024-11-25 07:32:23,2024-12-04 07:32:23,35000,0,True,delivered,TRK61944641,2026-05-25 04:22:10.045703
86,86,5,2022-02-05 19:09:32,2022-02-06 19:17:32,2022-02-11 19:17:32,25000,25000,False,delivered,TRK29835000,2026-05-25 04:22:10.045703
87,87,2,2025-12-08 04:41:41,2025-12-09 17:13:41,2025-12-17 17:13:41,35000,35000,True,delivered,TRK76025333,2026-05-25 04:22:10.045703
88,88,7,2022-05-08 16:27:33,2022-05-10 09:07:33,2022-05-11 09:07:33,9000,0,False,delivered,TRK15543941,2026-05-25 04:22:10.045703
89,89,3,2024-12-06 21:57:50,2024-12-07 21:10:50,2024-12-11 21:10:50,25000,0,True,delivered,TRK35320753,2026-05-25 04:22:10.045703
90,90,7,2023-12-22 23:55:56,2023-12-24 06:33:56,2023-12-25 06:33:56,9000,0,False,delivered,TRK76828143,2026-05-25 04:22:10.045703
91,91,1,2024-06-13 13:11:55,2024-06-14 10:15:55,2024-06-25 10:15:55,18000,0,True,delivered,TRK12082300,2026-05-25 04:22:10.045703
92,92,4,2022-12-09 09:45:42,2022-12-10 10:00:42,2022-12-15 10:00:42,18000,0,False,delivered,TRK38165204,2026-05-25 04:22:10.045703
93,93,1,2023-06-28 10:56:05,2023-06-30 02:52:05,2023-07-05 02:52:05,35000,0,False,delivered,TRK32979016,2026-05-25 04:22:10.045703
94,94,1,2023-05-03 22:01:18,2023-05-06 02:57:18,2023-05-16 02:57:18,50000,50000,True,delivered,TRK21810372,2026-05-25 04:22:10.045703
95,95,7,2025-06-02 08:16:43,2025-06-03 06:27:43,2025-06-08 06:27:43,18000,18000,True,delivered,TRK21639469,2026-05-25 04:22:10.045703
96,96,4,2023-04-26 00:08:19,2023-04-27 20:53:19,2023-05-01 20:53:19,50000,0,False,delivered,TRK34443660,2026-05-25 04:22:10.045703
97,97,7,2023-05-20 21:26:17,2023-05-22 04:20:17,2023-05-30 04:20:17,12000,0,True,delivered,TRK89939979,2026-05-25 04:22:10.045703
98,98,1,2024-08-18 14:40:37,2024-08-19 17:14:37,2024-08-27 17:14:37,25000,0,True,delivered,TRK50033818,2026-05-25 04:22:10.045703
99,99,7,2022-02-06 08:50:46,2022-02-06 22:22:46,2022-02-10 22:22:46,50000,0,True,delivered,TRK85970390,2026-05-25 04:22:10.045703
100,100,4,2023-11-23 13:40:36,2023-11-25 07:09:36,2023-11-29 07:09:36,50000,0,False,delivered,TRK41816731,2026-05-25 04:22:10.045703
101,101,3,2024-03-02 18:00:45,2024-03-03 08:01:45,2024-03-07 08:01:45,50000,50000,False,delivered,TRK73719459,2026-05-25 04:22:10.045703
102,102,3,2022-01-03 01:02:11,2022-01-04 14:14:11,2022-01-06 14:14:11,18000,0,False,delivered,TRK93276226,2026-05-25 04:22:10.045703
103,103,5,2022-03-16 02:11:59,2022-03-17 11:53:59,2022-03-27 11:53:59,35000,0,True,delivered,TRK60163592,2026-05-25 04:22:10.045703
104,104,5,2025-05-27 06:44:17,2025-05-28 02:51:17,2025-06-04 02:51:17,50000,0,True,delivered,TRK51804570,2026-05-25 04:22:10.045703
105,105,3,2024-04-14 15:14:29,2024-04-16 00:41:29,2024-04-17 00:41:29,12000,0,False,delivered,TRK44703712,2026-05-25 04:22:10.045703
106,106,3,2024-04-23 18:59:17,2024-04-26 00:05:17,2024-04-27 00:05:17,35000,0,False,delivered,TRK30317831,2026-05-25 04:22:10.045703
107,107,4,2024-05-20 15:04:36,2024-05-21 09:21:36,2024-05-23 09:21:36,18000,0,False,delivered,TRK88234751,2026-05-25 04:22:10.045703
108,108,1,2025-03-23 18:08:21,2025-03-25 17:59:21,2025-03-26 17:59:21,50000,50000,False,delivered,TRK81295488,2026-05-25 04:22:10.045703
109,109,1,2024-01-05 01:34:59,2024-01-06 16:15:59,2024-01-08 16:15:59,15000,0,False,delivered,TRK63109078,2026-05-25 04:22:10.045703
110,110,6,2025-06-28 00:10:16,2025-06-28 19:57:16,2025-07-04 19:57:16,15000,0,False,delivered,TRK95284136,2026-05-25 04:22:10.045703
111,111,5,2023-06-13 00:17:57,2023-06-15 06:00:57,2023-06-17 06:00:57,18000,0,False,delivered,TRK75991103,2026-05-25 04:22:10.045703
112,112,2,2022-07-14 18:20:18,2022-07-16 09:41:18,2022-07-25 09:41:18,15000,0,True,delivered,TRK96619611,2026-05-25 04:22:10.045703
113,113,7,2025-12-31 21:16:25,,,9000,0,False,in_progress,,2026-05-25 04:22:10.045703
114,114,3,2022-03-25 01:58:01,,,18000,0,False,cancelled,,2026-05-25 04:22:10.045703
115,115,5,2024-08-24 17:02:56,2024-08-26 07:58:56,2024-08-27 07:58:56,12000,0,False,delivered,TRK20737098,2026-05-25 04:22:10.045703
116,116,4,2024-12-08 19:18:43,2024-12-09 09:59:43,2024-12-10 09:59:43,15000,0,False,delivered,TRK70880100,2026-05-25 04:22:10.045703
117,117,4,2024-05-25 20:10:34,2024-05-27 05:56:34,2024-06-06 05:56:34,50000,0,True,delivered,TRK56419396,2026-05-25 04:22:10.045703
118,118,2,2023-03-06 19:45:09,,,18000,0,False,cancelled,,2026-05-25 04:22:10.045703
119,119,3,2024-06-08 14:06:02,2024-06-09 17:59:02,2024-06-10 17:59:02,12000,0,False,delivered,TRK51992015,2026-05-25 04:22:10.045703
120,120,1,2025-12-27 21:45:18,2025-12-28 18:19:18,2026-01-08 18:19:18,35000,0,True,delivered,TRK12671536,2026-05-25 04:22:10.045703
121,121,1,2022-04-21 19:41:19,2022-04-23 03:31:19,2022-04-24 03:31:19,25000,25000,False,delivered,TRK43766539,2026-05-25 04:22:10.045703
122,122,4,2023-05-27 09:53:45,2023-05-29 10:38:45,2023-06-03 10:38:45,9000,0,True,delivered,TRK47369614,2026-05-25 04:22:10.045703
123,123,5,2025-12-20 22:34:38,2025-12-22 07:57:38,2025-12-24 07:57:38,12000,0,False,delivered,TRK71305954,2026-05-25 04:22:10.045703
124,124,1,2023-03-24 11:25:14,2023-03-26 03:36:14,2023-03-28 03:36:14,25000,25000,False,delivered,TRK69443167,2026-05-25 04:22:10.045703
125,125,3,2023-12-16 20:08:18,2023-12-18 10:17:18,2023-12-21 10:17:18,35000,35000,False,delivered,TRK16780017,2026-05-25 04:22:10.045703
126,126,4,2025-03-26 02:07:35,2025-03-27 23:39:35,2025-04-01 23:39:35,25000,0,False,delivered,TRK76594423,2026-05-25 04:22:10.045703
127,127,1,2025-02-13 03:16:14,2025-02-15 10:51:14,,25000,0,False,cancelled,TRK31614765,2026-05-25 04:22:10.045703
128,128,2,2023-01-22 19:48:37,2023-01-24 02:55:37,2023-01-25 02:55:37,12000,0,False,delivered,TRK97903114,2026-05-25 04:22:10.045703
129,129,8,2023-01-31 11:19:17,2023-01-31 23:09:17,2023-02-10 23:09:17,12000,12000,True,delivered,TRK98382131,2026-05-25 04:22:10.045703
130,130,4,2023-07-09 21:49:28,2023-07-11 04:29:28,2023-07-14 04:29:28,12000,0,False,delivered,TRK37141830,2026-05-25 04:22:10.045703
131,131,1,2024-02-15 16:31:51,2024-02-17 13:51:51,2024-02-18 13:51:51,35000,0,False,delivered,TRK40479775,2026-05-25 04:22:10.045703
132,132,5,2025-03-15 01:25:16,2025-03-16 22:49:16,2025-03-20 22:49:16,35000,0,False,delivered,TRK84863031,2026-05-25 04:22:10.045703
133,133,1,2022-02-10 15:54:38,2022-02-12 22:06:38,2022-02-19 22:06:38,9000,0,True,delivered,TRK89317114,2026-05-25 04:22:10.045703
134,134,8,2024-12-18 16:13:30,2024-12-20 17:39:30,2024-12-21 17:39:30,9000,0,False,delivered,TRK97527861,2026-05-25 04:22:10.045703
135,135,6,2025-01-29 22:52:49,,,9000,0,False,cancelled,,2026-05-25 04:22:10.045703
136,136,1,2023-02-19 15:20:15,2023-02-20 11:41:15,2023-02-24 11:41:15,18000,0,False,delivered,TRK24220969,2026-05-25 04:22:10.045703
137,137,4,2022-12-09 21:28:15,2022-12-11 10:20:15,2022-12-16 10:20:15,18000,0,False,delivered,TRK63828149,2026-05-25 04:22:10.045703
138,138,4,2023-12-06 08:31:19,2023-12-07 07:22:19,2023-12-11 07:22:19,25000,0,False,delivered,TRK19347989,2026-05-25 04:22:10.045703
139,139,5,2024-07-18 10:23:46,2024-07-20 00:00:46,2024-08-01 00:00:46,50000,50000,True,delivered,TRK71215443,2026-05-25 04:22:10.045703
140,140,2,2022-01-23 14:39:03,2022-01-24 18:27:03,2022-01-31 18:27:03,18000,0,True,delivered,TRK82573099,2026-05-25 04:22:10.045703
141,141,3,2024-03-06 09:39:28,2024-03-06 16:05:28,2024-03-18 16:05:28,15000,0,True,delivered,TRK43596687,2026-05-25 04:22:10.045703
142,142,5,2023-10-01 11:22:52,2023-10-02 20:40:52,2023-10-05 20:40:52,15000,15000,False,delivered,TRK76693373,2026-05-25 04:22:10.045703
143,143,6,2025-05-13 20:34:12,2025-05-15 21:08:12,2025-05-20 21:08:12,9000,0,False,delivered,TRK57584239,2026-05-25 04:22:10.045703
144,144,3,2022-02-04 17:15:10,2022-02-06 04:09:10,2022-02-09 04:09:10,9000,0,False,delivered,TRK76145556,2026-05-25 04:22:10.045703
145,145,5,2023-01-28 13:24:26,2023-01-29 23:18:26,2023-01-31 23:18:26,15000,0,False,delivered,TRK83061173,2026-05-25 04:22:10.045703
146,146,4,2023-03-15 12:07:45,,,15000,15000,False,cancelled,,2026-05-25 04:22:10.045703
147,147,1,2022-09-03 14:29:48,2022-09-04 11:23:48,2022-09-07 11:23:48,15000,0,False,delivered,TRK81987409,2026-05-25 04:22:10.045703
148,148,4,2024-06-13 10:13:17,2024-06-14 15:17:17,2024-06-22 15:17:17,18000,0,True,delivered,TRK73190622,2026-05-25 04:22:10.045703
149,149,4,2022-09-24 00:26:55,2022-09-25 08:02:55,2022-09-30 08:02:55,25000,0,False,delivered,TRK54708003,2026-05-25 04:22:10.045703
150,150,6,2024-05-06 15:42:29,2024-05-07 19:30:29,2024-05-10 19:30:29,9000,0,False,delivered,TRK79833475,2026-05-25 04:22:10.045703
151,151,8,2022-09-14 18:34:19,2022-09-16 01:16:19,2022-09-24 01:16:19,9000,0,True,delivered,TRK76061094,2026-05-25 04:22:10.045703
152,152,3,2022-08-01 13:08:45,2022-08-02 17:41:45,2022-08-03 17:41:45,35000,0,False,delivered,TRK36752812,2026-05-25 04:22:10.045703
153,153,1,2023-12-22 21:44:52,2023-12-24 16:41:52,2023-12-29 16:41:52,15000,0,False,delivered,TRK76014366,2026-05-25 04:22:10.045703
154,154,4,2025-06-11 19:12:57,2025-06-13 05:16:57,2025-06-17 05:16:57,35000,0,False,delivered,TRK48073674,2026-05-25 04:22:10.045703
155,155,1,2023-09-28 01:32:10,2023-09-30 09:37:10,2023-10-02 09:37:10,35000,0,False,delivered,TRK92660240,2026-05-25 04:22:10.045703
156,156,2,2025-04-16 12:29:04,,,15000,0,False,cancelled,,2026-05-25 04:22:10.045703
157,157,1,2022-08-22 17:30:14,2022-08-23 16:16:14,2022-08-26 16:16:14,35000,0,False,delivered,TRK60311761,2026-05-25 04:22:10.045703
158,158,5,2023-01-15 00:16:29,2023-01-15 14:29:29,2023-01-16 14:29:29,15000,15000,False,delivered,TRK88103412,2026-05-25 04:22:10.045703
159,159,3,2022-10-02 17:20:00,2022-10-03 00:38:00,2022-10-05 00:38:00,35000,0,False,delivered,TRK31376752,2026-05-25 04:22:10.045703
160,160,4,2023-01-28 21:34:04,2023-01-30 07:36:04,2023-02-01 07:36:04,12000,12000,False,delivered,TRK51009603,2026-05-25 04:22:10.045703
161,161,3,2024-04-12 20:31:26,2024-04-14 08:43:26,2024-04-21 08:43:26,25000,0,True,delivered,TRK75768569,2026-05-25 04:22:10.045703
162,162,6,2023-01-03 16:38:09,,,35000,0,False,cancelled,,2026-05-25 04:22:10.045703
163,163,8,2023-02-23 21:41:19,,,9000,0,False,cancelled,,2026-05-25 04:22:10.045703
164,164,5,2022-01-01 19:56:58,2022-01-02 19:10:58,2022-01-05 19:10:58,18000,0,False,delivered,TRK21694555,2026-05-25 04:22:10.045703
165,165,5,2022-12-21 16:55:12,2022-12-22 00:34:12,2022-12-31 00:34:12,35000,0,True,delivered,TRK11003628,2026-05-25 04:22:10.045703
166,166,1,2023-11-02 02:18:25,2023-11-02 18:52:25,2023-11-07 18:52:25,12000,0,False,delivered,TRK97646832,2026-05-25 04:22:10.045703
167,167,3,2024-02-13 18:01:14,2024-02-14 22:02:14,2024-02-26 22:02:14,35000,35000,True,delivered,TRK54833493,2026-05-25 04:22:10.045703
168,168,3,2025-08-26 09:13:00,2025-08-27 22:55:00,2025-08-29 22:55:00,50000,0,False,delivered,TRK61018572,2026-05-25 04:22:10.045703
169,169,3,2022-02-07 16:38:48,2022-02-09 03:26:48,2022-02-17 03:26:48,18000,0,True,delivered,TRK75053419,2026-05-25 04:22:10.045703
170,170,6,2023-03-26 17:32:48,2023-03-27 03:38:48,2023-03-28 03:38:48,25000,0,False,delivered,TRK44664404,2026-05-25 04:22:10.045703
171,171,6,2024-07-23 18:37:05,2024-07-25 21:47:05,2024-07-29 21:47:05,25000,0,False,delivered,TRK83114977,2026-05-25 04:22:10.045703
172,172,4,2024-01-06 05:12:28,2024-01-07 21:20:28,2024-01-17 21:20:28,12000,0,True,delivered,TRK11900261,2026-05-25 04:22:10.045703
173,173,4,2025-03-12 17:20:02,2025-03-14 11:28:02,2025-03-18 11:28:02,15000,15000,False,delivered,TRK14752249,2026-05-25 04:22:10.045703
174,174,4,2023-05-19 22:48:33,2023-05-21 00:06:33,2023-06-01 00:06:33,12000,0,True,delivered,TRK77627014,2026-05-25 04:22:10.045703
175,175,4,2023-02-08 00:15:34,2023-02-08 23:58:34,2023-02-11 23:58:34,12000,0,False,delivered,TRK59737045,2026-05-25 04:22:10.045703
176,176,6,2024-02-23 02:23:07,2024-02-24 05:29:07,2024-02-25 05:29:07,25000,0,False,delivered,TRK83392868,2026-05-25 04:22:10.045703
177,177,3,2022-02-23 23:49:05,2022-02-24 18:28:05,2022-02-26 18:28:05,25000,0,False,delivered,TRK20604377,2026-05-25 04:22:10.045703
178,178,5,2024-03-28 15:49:46,2024-03-30 07:09:46,2024-04-01 07:09:46,9000,9000,False,delivered,TRK16545394,2026-05-25 04:22:10.045703
179,179,1,2024-10-29 06:29:02,2024-10-30 05:57:02,2024-11-01 05:57:02,35000,0,False,delivered,TRK62537149,2026-05-25 04:22:10.045703
180,180,4,2024-02-05 18:17:46,2024-02-07 10:00:46,2024-02-14 10:00:46,9000,0,True,delivered,TRK12637455,2026-05-25 04:22:10.045703
181,181,7,2024-11-02 10:04:39,2024-11-04 05:42:39,2024-11-10 05:42:39,15000,0,True,delivered,TRK72666314,2026-05-25 04:22:10.045703
